seed;sparsity;method;teacher_f1;sparse_f1;pre_ft_f1;final_f1;final_acc;teacher_params;sparse_nonzero;compact_params;compression;convert_time;finetune_time;total_time;f1_recovery
123;0.95;weight_redistribution;0.9566589615931721;0.3333333333333333;0.6525553200926519;0.9583276612650056;0.9583333333333334;33666;2050;982;34.283095723014256;0.0003688335418701172;0.06927204132080078;0.0696408748626709;1.001744299419988
123;0.95;evomerge;0.9566589615931721;0.3333333333333333;0.3333333333333333;0.9666651851193386;0.9666666666666667;33666;2050;19319;1.7426367824421554;3.5691208839416504;0.10056304931640625;3.6696839332580566;1.0104595513426256
999;0.5;neuron_removal;0.9733330370337449;0.9716665879627444;0.9716665879627444;0.9716659583156246;0.9716666666666667;33666;17026;26592;1.2660198555956679;0.000537872314453125;0.10115194320678711;0.10168981552124023;0.9982872473709505
999;0.5;svd_compression;0.9733330370337449;0.9716665879627444;0.6232407435832317;0.9633186607976524;0.9633333333333334;33666;17026;33666;1.0;0.0022399425506591797;0.10270500183105469;0.10494494438171387;0.9897112541596127
999;0.5;knowledge_distill;0.9733330370337449;0.9716665879627444;0.9749993749843746;0.9749965967590033;0.975;33666;17026;4505;7.473029966703662;0.3170759677886963;0.07516789436340332;0.3922438621520996;1.0017091372243236
999;0.5;weight_redistribution;0.9733330370337449;0.9716665879627444;0.20355555555555555;0.9749943737340903;0.975;33666;17026;4317;7.798471160528145;0.0005753040313720703;0.07439112663269043;0.0749664306640625;1.0017068532939233
999;0.5;evomerge;0.9733330370337449;0.9716665879627444;0.9733330370337449;0.9666651851193386;0.9666666666666667;33666;17026;18374;1.8322629802982475;3.4213688373565674;0.09948396682739258;3.52085280418396;0.9931494651258046
999;0.7;neuron_removal;0.9733330370337449;0.9716659583156246;0.9716659583156246;0.9683311341065352;0.9683333333333334;33666;10370;17342;1.9412985814784915;0.0005700588226318359;0.1277768611907959;0.12834692001342773;0.9948610570720449
999;0.7;svd_compression;0.9733330370337449;0.9716659583156246;0.6161743138487324;0.9515955390003644;0.9516666666666667;33666;10370;33666;1.0;0.0021431446075439453;0.10118603706359863;0.10332918167114258;0.9776669472767245
999;0.7;knowledge_distill;0.9733330370337449;0.9716659583156246;0.9733306663999733;0.9716602902319689;0.9716666666666667;33666;10370;2805;12.002139037433155;0.3115880489349365;0.07385873794555664;0.38544678688049316;0.9982814239955589
999;0.7;weight_redistribution;0.9733330370337449;0.9716659583156246;0.3483922286511283;0.9699996666629629;0.97;33666;10370;2657;12.670681219420398;0.0004928112030029297;0.07371973991394043;0.07421255111694336;0.9965753033710429
999;0.7;evomerge;0.9733330370337449;0.9716659583156246;0.9733330370337449;0.9699996666629629;0.97;33666;10370;19634;1.714678618722624;3.5135862827301025;0.1001288890838623;3.613715171813965;0.9965753033710429
999;0.8;neuron_removal;0.9733330370337449;0.9716659583156246;0.9716659583156246;0.97;0.97;33666;7042;10700;3.146355140186916;0.0004899501800537109;0.08839106559753418;0.08888101577758789;0.9965756458407059
999;0.8;svd_compression;0.9733330370337449;0.9716659583156246;0.6200614261923292;0.9666633329999668;0.9666666666666667;33666;7042;33666;1.0;0.0018379688262939453;0.10109186172485352;0.10292983055114746;0.9931475622628569
999;0.8;knowledge_distill;0.9733330370337449;0.9716659583156246;0.96999466571835;0.96999699969997;0.97;33666;7042;1945;17.30899742930591;0.296781063079834;0.06883978843688965;0.36562085151672363;0.9965725633397368
999;0.8;weight_redistribution;0.9733330370337449;0.9716659583156246;0.23327396590613467;0.9733321480954709;0.9733333333333334;33666;7042;1822;18.4774972557629;0.00043487548828125;0.06879091262817383;0.06922578811645508;0.9999990867069747
999;0.8;evomerge;0.9733330370337449;0.9716659583156246;0.9683311341065352;0.9699986666074047;0.97;33666;7042;18899;1.781364093338272;3.5400431156158447;0.10017824172973633;3.640221357345581;0.9965742759163897
999;0.9;neuron_removal;0.9733330370337449;0.9683332453701261;0.9683332453701261;0.9716665879627444;0.9716666666666667;33666;3714;8990;3.7448275862068967;0.00047707557678222656;0.08812904357910156;0.08860611915588379;0.9982878942688733
999;0.9;svd_compression;0.9733330370337449;0.9683332453701261;0.6197803923327987;0.9733333333333334;0.9733333333333334;33666;3714;33666;1.0;0.0017549991607666016;0.10216903686523438;0.10392403602600098;1.0000003044174781
999;0.9;knowledge_distill;0.9733330370337449;0.9683332453701261;0.9733333333333334;0.9716646989374262;0.9716666666666667;33666;3714;1073;31.375582479030754;0.2975151538848877;0.06905174255371094;0.36656689643859863;0.998285953488846
999;0.9;weight_redistribution;0.9733330370337449;0.9683332453701261;0.5595894607843137;0.9733333333333334;0.9733333333333334;33666;3714;982;34.283095723014256;0.00037598609924316406;0.06780171394348145;0.06817770004272461;1.0000003044174781
999;0.9;evomerge;0.9733330370337449;0.9683332453701261;0.9616640044447531;0.9716665879627444;0.9716666666666667;33666;3714;18584;1.811558329746018;3.533062219619751;0.12357616424560547;3.6566383838653564;0.9982878942688733
999;0.95;neuron_removal;0.9733330370337449;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.5;33666;2050;5828;5.776595744680851;0.0005369186401367188;0.08740806579589844;0.08794498443603516;0.3424658576772185
999;0.95;svd_compression;0.9733330370337449;0.3333333333333333;0.3333333333333333;0.9716659583156246;0.9716666666666667;33666;2050;33666;1.0;0.0017409324645996094;0.10313725471496582;0.10487818717956543;0.9982872473709505
999;0.95;knowledge_distill;0.9733330370337449;0.3333333333333333;0.9766643330999767;0.9599782103589731;0.96;33666;2050;982;34.283095723014256;0.2960031032562256;0.06924581527709961;0.3652489185333252;0.9862792834860811
999;0.95;weight_redistribution;0.9733330370337449;0.3333333333333333;0.7532894736842105;0.9699996666629629;0.97;33666;2050;982;34.283095723014256;0.0003688335418701172;0.06946778297424316;0.06983661651611328;0.9965753033710429
999;0.95;evomerge;0.9733330370337449;0.3333333333333333;0.3333333333333333;0.9683325416468745;0.9683333333333334;33666;2050;19004;1.771521784887392;3.193382978439331;0.10065293312072754;3.2940359115600586;0.9948625031755735
