task,method,median_loss,mean_loss,std_loss,iqr_loss,median_rcu_hpo,median_rcu_total,n_seeds,rank,L_min,L_max,L_random,norm_regret,tier,is_author
L2/yahpo__lcbench__126025/yahpo,SMAC,0.2400016114115715,0.22839417308568954,0.03442273142664017,0.06056176871061325,54.041659413126936,64.96966088735363,10,8.0,0.08275526762008667,0.2954976111650467,0.2954976111650467,0.7391398495065139,L2,False
L2/yahpo__lcbench__126025/yahpo,Sigma-CMA,0.17896588891744614,0.1954891189932823,0.07335085992831479,0.05901626497507095,42.48775724015391,54.065139833260304,10,5.0,0.08275526762008667,0.2954976111650467,0.2954976111650467,0.45224011211960136,L2,True
L2/yahpo__lcbench__126025/yahpo,TPE,0.21330638229846954,0.20638043135404588,0.033312038094355186,0.03871007263660431,16.99734509248451,27.90751822192417,10,7.0,0.08275526762008667,0.2954976111650467,0.2954976111650467,0.6136583460677765,L2,False
L2/yahpo__lcbench__126025/yahpo,WL-CMA,0.1380082294344902,0.15323289409279822,0.056547021876307516,0.038713907822966576,1522.3648842295447,1534.8523468266721,10,4.0,0.08275526762008667,0.2954976111650467,0.2954976111650467,0.25971774538963194,L2,True
L2/yahpo__lcbench__126026/yahpo,CMA-ES,0.0719183087348938,0.0699465699493885,0.009422948073691354,0.011931337416172028,0.8437109124859792,12.030918623568674,10,10.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.9685701701699044,L2,False
L2/yahpo__lcbench__126026/yahpo,DEHB,0.06740924343466759,0.06931069865822792,0.0183475781542469,0.020932508632540703,0.40193642348733694,11.393620464560623,10,9.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.8681593515799501,L2,False
L2/yahpo__lcbench__126026/yahpo,GP-BO,0.028423531912267208,0.028350367583334445,0.0011732023414278627,0.0015169782564043999,1525.5272262233607,1539.430537244174,10,1.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.0,L2,False
L2/yahpo__lcbench__126026/yahpo,L-SHADE,0.055433716624975204,0.05786592029035091,0.02438558760292317,0.03757380787283182,0.7442834709538728,11.685114252373111,10,8.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.6014804791433872,L2,False
L2/yahpo__lcbench__126026/yahpo,Random,0.07332970201969147,0.07740019112825394,0.019882533903694124,0.027716657146811485,0.058057707544303006,10.782424955462274,10,11.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,1.0,L2,False
L2/yahpo__lcbench__126026/yahpo,SACMA-DAC,0.02965098712593317,0.032967634685337546,0.007039151544651732,0.0062256501987576485,1106.870842675576,1118.0369483872878,10,2.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.027333776421584195,L2,True
